"job_id","job_title","company_name","job_description","created_at","modified_at","expiry_date","number_of_openings","education","experience","city","state","salary","trade","type_of_work"
"698bd881-1f62-4b8d-b4bf-b33b1eb1cfc1",Storekeeper,Amul company,"<p>URGENT REQUIRED MALE &amp; FEMALE NEW STAFF FOR OFFICE WORK IN AMUL COMPANY</p><p><br></p><p>If you interested send me resume (CV)</p><p><br></p><p>Location-Bihar, Jharkhand</p><p><br></p><p>☎️ Helpline number-9199301398</p><p><br></p><p>Facilities.&nbsp;&nbsp;:- Food+Room</p><p><br></p><p>Time&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;: 09:00am to 05:00pm</p><p><br></p><p>PAYMENT : ₹13500-₹22500</p><p><br></p><p>AGE.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;: 18 year to 35 year</p><p><br></p><p>Edu Qual.&nbsp;&nbsp;: 10th to any degree</p><p><br></p><p>Post.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Salary</p><p><br></p><p>Helper.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;₹13500</p><p><br></p><p>Storekeeper.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;₹15500</p><p><br></p><p>Supervisor.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;₹ 17500</p><p><br></p><p>Senior supervisor&nbsp;&nbsp;&nbsp;₹22500&nbsp;</p><p><br></p><p>Branch manager.&nbsp;&nbsp;&nbsp;₹27500&nbsp;&nbsp;</p><p><br></p><p>Work totally online process. Staff fresher and experience both can apply.</p><p>Online charges-₹660</p>",2022-06-12 04:56:32.569 +0530,2022-06-26 06:25:23.123 +0530,2022-07-12 04:56:33.005 +0530,23,"10th Pass",Fresher,Ranchi,Jharkhand,Rs. 10000 to Rs.15000,Food Production (General),Full Time
ceff9105-dfc6-4981-baae-6074bd8e77a8,Storekeeper,Amul company,"<p>URGENT REQUIRED MALE &amp; FEMALE NEW STAFF FOR OFFICE WORK IN AMUL COMPANY</p><p><br></p><p>If you interested send me resume (CV)</p><p><br></p><p>Location-Bihar, Jharkhand</p><p><br></p><p>☎️ Helpline number-9199301398</p><p><br></p><p>Facilities.&nbsp;&nbsp;:- Food+Room</p><p><br></p><p>Time&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;: 09:00am to 05:00pm</p><p><br></p><p>PAYMENT : ₹13500-₹22500</p><p><br></p><p>AGE.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;: 18 year to 35 year</p><p><br></p><p>Edu Qual.&nbsp;&nbsp;: 10th to any degree</p><p><br></p><p>Post.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Salary</p><p><br></p><p>Helper.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;₹13500</p><p><br></p><p>Storekeeper.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;₹15500</p><p><br></p><p>Supervisor.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;₹ 17500</p><p><br></p><p>Senior supervisor&nbsp;&nbsp;&nbsp;₹22500&nbsp;</p><p><br></p><p>Branch manager.&nbsp;&nbsp;&nbsp;₹27500&nbsp;&nbsp;</p><p><br></p><p>Work totally online process. Staff fresher and experience both can apply.</p><p>Online charges-₹660</p>",2022-06-12 04:57:34.633 +0530,2022-06-26 06:25:25.427 +0530,2022-07-12 04:57:35.021 +0530,22,"10th Pass",Fresher,Dhanbad (Jharkhand),Jharkhand,Rs. 10000 to Rs.15000,Food Production (General),Full Time
"055b2d95-83ae-4050-a191-b09af946f938",Storekeeper,Amul company,"<p>URGENT REQUIRED MALE &amp; FEMALE NEW STAFF FOR OFFICE WORK IN AMUL COMPANY</p><p><br></p><p>If you interested send me resume (CV)</p><p><br></p><p>Location-Bihar, Jharkhand</p><p><br></p><p>☎️ Helpline number-9199301398</p><p><br></p><p>Facilities.&nbsp;&nbsp;:- Food+Room</p><p><br></p><p>Time&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;: 09:00am to 05:00pm</p><p><br></p><p>PAYMENT : ₹13500-₹22500</p><p><br></p><p>AGE.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;: 18 year to 35 year</p><p><br></p><p>Edu Qual.&nbsp;&nbsp;: 10th to any degree</p><p><br></p><p>Post.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Salary</p><p><br></p><p>Helper.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;₹13500</p><p><br></p><p>Storekeeper.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;₹15500</p><p><br></p><p>Supervisor.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;₹ 17500</p><p><br></p><p>Senior supervisor&nbsp;&nbsp;&nbsp;₹22500&nbsp;</p><p><br></p><p>Branch manager.&nbsp;&nbsp;&nbsp;₹27500&nbsp;&nbsp;</p><p><br></p><p>Work totally online process. Staff fresher and experience both can apply.</p><p>Online charges-₹660</p>",2022-06-12 04:58:37.067 +0530,2022-06-26 06:25:31.386 +0530,2022-07-12 04:58:37.482 +0530,14,"10th Pass",Fresher,Jamshedpur (East Singhbum),Jharkhand,Rs. 10000 to Rs.15000,Food Production (General),Full Time
"760f6fdb-0c3b-44c1-8332-e4a77b00ac54",first testing,first job,<p>testing</p>,2022-07-02 17:47:19.447 +0530,2022-07-02 18:20:40.471 +0530,2022-08-01 17:47:19.905 +0530,2,"8th Class or Below",Fresher,Agra,Uttar Pradesh,Less than Rs.10000,AC Technician,Full Time
"9dacfc3a-b36c-416e-9125-199e2123518c",ड्रायव्हर,Tata company,"",2021-10-13 21:20:01.642 +0530,2021-10-16 14:48:49.491 +0530,2021-11-12 21:20:01.642 +0530,,"10th Pass","3-5 yrs",Pune,Maharashtra,Rs. 15001 to Rs.25000,Drivers,Full Time
"6f60b4d0-01c8-4e0d-9026-b5ff67cae327",Delivery Boy,Meksa Enterprises,"<p>We are looking for delivery boy to supply stuff on urgent basis for these locations.<br />Location - Mayapuri ,Rojokri, Ranapratap Bagh, Ghaziyabad , Gurufram Sector-17.<br />Salary-15-20k (40rs per packet)<br /><strong><u>Before applying , please ensure that you have the following documents:-<br /></u></strong>1.&nbsp;Adharcard,<br />2. Pancard,<br />3. 10th and 12th certificate.<br />4. Bike/ Scooty (this is not document)<br />5.&nbsp;Driving license, RC<br />6. Android phone.<br />Company Details:- Meksa Enterprises<br />Address:- B-15,Mira Complex,Matiala Rd, Gulab Bagh,Kiran Garden, Block A, Uttam Nagar, New Delhi,Delhi-110059<br />Contact:- Divya :- 9717521298, Poonam:- 8130923298, Nilesh Chaubey: 7042068298</p>",2021-09-29 10:49:39.730 +0530,2022-08-16 20:03:01.193 +0530,2022-08-23 20:03:04.710 +0530,50,"10th Pass",Fresher,Delhi,Delhi,Rs. 10000 to Rs.15000,Delivery Executive,Full Time
"9b5ffd6c-db8d-4e56-ac85-75d1a7e82ac4",Delivery executive,Flipkart,<p>He hire delivery executive all over Telangana and hyderabad also we provide delivery franchise. </p>,2022-01-09 13:03:57.467 +0530,2022-01-12 19:24:12.864 +0530,2022-08-18 00:00:00.000 +0530,99,"8th Class or Below",Fresher,Hyderabad,Telangana,Rs. 25001 to Rs. 50000,Delivery Executive,Freelancer
bd69a87b-729a-4352-a5b5-a0afaa423bca,Delivery boy,Zamoto,<p>We are looking for the delivery boys and Incentive based job.</p>,2022-05-24 13:59:29.098 +0530,2022-08-20 17:00:23.193 +0530,2022-06-23 13:59:29.487 +0530,100,"8th Class or Below",Fresher,Jabalpur,Madhya Pradesh,Less than Rs.10000,Delivery Executive,Full Time
"9be9446d-503a-4d32-9acd-3f594d157146",Storekeeper,Amul company,"<p>URGENT REQUIRED MALE &amp; FEMALE NEW STAFF FOR OFFICE WORK IN AMUL COMPANY</p><p><br></p><p>If you interested send me resume (CV)</p><p><br></p><p>Location-Bihar, Jharkhand</p><p><br></p><p>☎️ Helpline number-9199301398</p><p><br></p><p>Facilities.&nbsp;&nbsp;:- Food+Room</p><p><br></p><p>Time&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;: 09:00am to 05:00pm</p><p><br></p><p>PAYMENT : ₹13500-₹22500</p><p><br></p><p>AGE.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;: 18 year to 35 year</p><p><br></p><p>Edu Qual.&nbsp;&nbsp;: 10th to any degree</p><p><br></p><p>Post.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Salary</p><p><br></p><p>Helper.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;₹13500</p><p><br></p><p>Storekeeper.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;₹15500</p><p><br></p><p>Supervisor.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;₹ 17500</p><p><br></p><p>Senior supervisor&nbsp;&nbsp;&nbsp;₹22500&nbsp;</p><p><br></p><p>Branch manager.&nbsp;&nbsp;&nbsp;₹27500&nbsp;&nbsp;</p><p><br></p><p>Work totally online process. Staff fresher and experience both can apply.</p><p>Online charges-₹660</p>",2022-06-12 05:01:47.739 +0530,2022-06-26 06:25:39.727 +0530,2022-07-12 05:01:48.185 +0530,13,"10th Pass",Fresher,Hazaribagh,Jharkhand,Rs. 10000 to Rs.15000,Food Production (General),Full Time
"2e52e60e-efe7-4aa7-9523-936c176d0d2a",Storekeeper,Amul company,"<p>URGENT REQUIRED MALE &amp; FEMALE NEW STAFF FOR OFFICE WORK IN AMUL COMPANY</p><p><br></p><p>If you interested send me resume (CV)</p><p><br></p><p>Location-Bihar, Jharkhand</p><p><br></p><p>☎️ Helpline number-9199301398</p><p><br></p><p>Facilities.&nbsp;&nbsp;:- Food+Room</p><p><br></p><p>Time&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;: 09:00am to 05:00pm</p><p><br></p><p>PAYMENT : ₹13500-₹22500</p><p><br></p><p>AGE.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;: 18 year to 35 year</p><p><br></p><p>Edu Qual.&nbsp;&nbsp;: 10th to any degree</p><p><br></p><p>Post.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Salary</p><p><br></p><p>Helper.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;₹13500</p><p><br></p><p>Storekeeper.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;₹15500</p><p><br></p><p>Supervisor.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;₹ 17500</p><p><br></p><p>Senior supervisor&nbsp;&nbsp;&nbsp;₹22500&nbsp;</p><p><br></p><p>Branch manager.&nbsp;&nbsp;&nbsp;₹27500&nbsp;&nbsp;</p><p><br></p><p>Work totally online process. Staff fresher and experience both can apply.</p><p>Online charges-₹660</p>",2022-06-12 05:04:05.835 +0530,2022-06-26 06:25:44.672 +0530,2022-07-12 05:04:06.223 +0530,11,"10th Pass",Fresher,Khagaria,Bihar,Rs. 10000 to Rs.15000,Food Production (General),Full Time
